Tanggal,penjualan,Permintaan,produksi,persediaan
11/12/2022,,,,167
12/12/2022,,,,167
13/12/2022,,,,167
14/12/2022,4,,,163
15/12/2022,26,,,137
16/12/2022,3,,,134
17/12/2022,,,,134
18/12/2022,15,,,119
19/12/2022,,,,119
20/12/2022,,,,119
21/12/2022,1,,,118
22/12/2022,5,,,113
23/12/2022,,,,113
24/12/2022,,,,113
25/12/2022,7,,,106
26/12/2022,,,,106
27/12/2022,4,,,102
28/12/2022,,,195,297
29/12/2022,2,,,295
30/12/2022,5,,,290
31/12/2022,9,,,281
